Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",40,40,666,,,,
,3103,0.0,0.0,0.0,,,,0
,11738,858.0674,842.87195,131.83714,,,,0
,11755,851.9297,859.2334,139.51387,,,,0
,11771,851.9297,859.2334,139.51387,,,,0
,11789,842.6324,872.0793,143.94608,,,,0
,11805,833.9654,882.6804,144.5853,,,,0
,11822,827.47406,891.56604,145.0931,,,,0
,11840,825.66534,905.0807,147.20999,,,,0
,11858,825.9748,925.6008,152.0949,,,,0
,11874,842.3938,959.956,168.35623,,,,0
,11889,851.657,1006.8088,187.14677,,,,0
,11905,865.55707,1060.3246,209.11354,,,,0
,11922,0.0,0.0,0.0,,,,0
,12241,764.19916,1043.0797,227.35876,,,,0
,12255,773.5679,999.05774,227.04929,,,,0
,12274,779.64746,951.67303,224.36533,,,,0
,12290,782.54565,903.82446,225.06737,,,,0
,12307,789.68054,858.7792,223.01105,,,,0
,12322,792.963,816.9065,221.5901,,,,0
,12339,801.3603,777.72516,221.34541,,,,0
,12357,806.6373,740.0381,223.12938,,,,0
,12373,808.8407,705.9425,225.27322,,,,0
,12389,811.544,674.567,227.66386,,,,132
,12408,814.0712,643.37134,233.34868,,,,132
,12423,814.0712,643.37134,233.34868,,,,132
,12439,814.0712,643.37134,233.34868,,,,132
,12455,813.80347,591.3954,233.74182,,,,132
,12472,810.8997,553.9126,236.33005,,,,132
,12503,810.8997,553.9126,236.33005,,,,132
,12520,810.7925,541.3057,238.92046,,,,132
,12539,813.528,525.4844,242.70639,,,,132
,12569,815.1967,520.9839,244.77177,,,,132
,12586,817.84937,516.68665,247.17642,,,,132
,12605,819.1662,515.315,248.09352,,,,132
,12638,821.7496,513.48016,249.97206,,,,132
,12670,823.41187,512.7023,251.26045,,,,132
,12702,829.7253,508.77924,254.43633,,,,132
,12736,833.5078,505.61353,257.23978,,,,132
,12753,835.29535,502.71185,259.99902,,,,132
,12785,835.861,490.7989,264.32126,,,,132
,12818,830.3189,464.31702,266.42633,,,,132
,12836,830.82697,451.21436,266.14185,,,,0
,12869,834.0776,429.5318,270.3698,,,,0
,12903,837.8166,418.70367,277.84778,,,,0
,12923,843.92377,408.1657,287.68542,,,,0
,12956,858.5531,392.23975,296.66553,,,,0
,12986,868.247,381.2049,297.6714,,,,0
,13020,868.1099,366.79285,289.3833,,,,0
,13053,851.19696,348.41302,270.25928,,,,0
,13087,813.35425,329.6637,256.28046,,,,0
,13119,791.2861,321.54608,247.9996,,,,0
,13137,768.58167,315.2829,242.5772,,,,0
,13169,714.87317,301.5381,232.18364,,,,132
,13191,686.83954,296.66418,226.91281,,,,132
,13221,623.3318,290.79974,221.43575,,,,132
,13253,554.64087,294.80402,216.3386,,,,132
,13287,484.43704,314.2187,211.51413,,,,132
,13320,452.62033,328.32306,210.39934,,,,132
,13353,388.3497,372.9533,205.53706,,,,132
,13385,329.578,426.57965,209.90442,,,,132
,13403,305.36737,455.99487,214.0357,,,,132
,13422,288.84326,483.66473,217.87206,,,,132
,13455,271.12912,537.16675,233.4971,,,,132
,13489,272.8183,583.02893,254.94133,,,,132
,13521,295.223,623.4738,276.69284,,,,132
,13555,314.65878,645.9862,290.07193,,,,132
,13587,365.44205,675.57654,306.0476,,,,132
,13619,425.7279,694.6033,315.6723,,,,132
,13636,457.1688,698.4791,320.65515,,,,132
,13669,517.7791,692.6417,321.02307,,,,132
,13703,567.46924,666.0665,315.78326,,,,132
,13735,590.8817,637.68896,308.2039,,,,132
,13769,614.5254,571.90356,286.5514,,,,132
,13804,614.6344,502.12427,264.4525,,,,132
,13821,605.1791,470.77765,255.03996,,,,132
,13839,593.00806,441.66058,246.01752,,,,132
,13872,557.2297,391.57996,230.09381,,,,132
,13904,509.71063,356.4773,222.66032,,,,132
,13937,460.7283,343.12823,209.4528,,,,132
,13969,435.37405,342.09485,202.6329,,,,132
,14005,377.97083,358.37927,197.98712,,,,132
,14037,322.2915,398.80957,202.0867,,,,132
,14069,277.48428,448.09753,221.05797,,,,132
,14102,254.16928,505.04602,246.22699,,,,132
,14137,258.39203,554.8569,270.53687,,,,132
,14169,269.0946,580.3391,287.384,,,,132
,14185,283.3531,601.02106,300.385,,,,132
,14206,299.19937,617.3812,309.6258,,,,132
,14239,342.78598,647.3569,328.98718,,,,132
,14272,404.25473,669.0283,342.3483,,,,132
,14305,472.58658,676.6454,348.44446,,,,132
,14339,535.4745,669.8994,343.29117,,,,132
,14371,600.7891,643.77094,333.22357,,,,132
,14404,626.8684,624.516,326.101,,,,132
,14436,671.4101,565.8467,301.12018,,,,132
,14469,693.076,503.80005,275.27234,,,,132
,14503,693.99133,441.21967,257.64014,,,,132
,14535,676.06714,392.87903,249.1801,,,,132
